product_name,total_sales
cama_mesa_banho,1264.1000000000001
informatica_acessorios,458.29999999999995
climatizacao,203.8
beleza_saude,457.75
ferramentas_jardim,779.0
moveis_decoracao,284.9
telefonia,45.98
moveis_decoracao,196.36
utilidades_domesticas,299.8
eletroportateis,129.9
esporte_lazer,39.6
cama_mesa_banho,497.70000000000005
automotivo,599.96
moveis_decoracao,28.979999999999997
telefonia,21.99
automotivo,124.8
beleza_saude,59.99
perfumaria,309.6
informatica_acessorios,120.0
esporte_lazer,139.89
beleza_saude,199.0
telefonia,21.99
utilidades_domesticas,282.71
brinquedos,891.08
esporte_lazer,59.9
fashion_calcados,99.9
cama_mesa_banho,848.0
ferramentas_jardim,79.98
automotivo,157.87
cama_mesa_banho,149.0
instrumentos_musicais,1679.0
utilidades_domesticas,371.2
brinquedos,589.96
casa_construcao,20.9
telefonia_fixa,37.8
cama_mesa_banho,103.0
automotivo,80.0
construcao_ferramentas_jardim,369.9
relogios_presentes,207.0
perfumaria,1322.9
cool_stuff,661.9000000000001
relogios_presentes,169.0
instrumentos_musicais,3320.0
pet_shop,130.0
utilidades_domesticas,18.95
informatica_acessorios,89.99
automotivo,284.8
consoles_games,339.0
moveis_escritorio,159.98
cama_mesa_banho,125.9
pet_shop,42.4
cama_mesa_banho,143.54
cama_mesa_banho,198.0
utilidades_domesticas,39.9
telefonia,19.9
bebes,555.0
bebes,126.99
portateis_casa_forno_e_cafe,13193.0
construcao_ferramentas_construcao,162.5
papelaria,109.21000000000001
moveis_decoracao,160.0
livros_tecnicos,49.0
esporte_lazer,619.7
construcao_ferramentas_ferramentas,321.3
beleza_saude,11.9
ferramentas_jardim,379.8
esporte_lazer,75.0
esporte_lazer,269.70000000000005
moveis_decoracao,88.7
telefonia,799.68
esporte_lazer,61.0
esporte_lazer,34.7
moveis_cozinha_area_de_servico_jantar_e_jardim,598.0
automotivo,84.35
utilidades_domesticas,124.9
automotivo,45.0
utilidades_domesticas,79.6
relogios_presentes,959.51
relogios_presentes,1349.6999999999998
esporte_lazer,229.0
brinquedos,299.4
ferramentas_jardim,3340.0
beleza_saude,175.06
beleza_saude,401.0
cama_mesa_banho,2093.0
papelaria,677.0
informatica_acessorios,112.99
utilidades_domesticas,199.8
livros_tecnicos,39.9
fashion_bolsas_e_acessorios,1459.5
relogios_presentes,59.0
brinquedos,139.9
beleza_saude,70.0
papelaria,22.22
moveis_decoracao,34.99
esporte_lazer,73.8
relogios_presentes,169.99
cama_mesa_banho,62.7
beleza_saude,128.3
perfumaria,349.9
papelaria,538.27
brinquedos,115.0
cama_mesa_banho,234.5
cama_mesa_banho,64.9
relogios_presentes,335.0
fashion_bolsas_e_acessorios,169.9
cama_mesa_banho,231.8
esporte_lazer,275.96999999999997
automotivo,249.9
esporte_lazer,728.0
pet_shop,155.0
relogios_presentes,387.0
pet_shop,79.99
beleza_saude,206.95
moveis_decoracao,106.72
brinquedos,159.9
moveis_decoracao,269.70000000000005
utilidades_domesticas,144.95
beleza_saude,56.9
esporte_lazer,33.9
telefonia,25.0
perfumaria,2499.2
relogios_presentes,574.25
esporte_lazer,77.8
sinalizacao_e_seguranca,311.6
relogios_presentes,374.0
moveis_escritorio,585.8
beleza_saude,94.0
informatica_acessorios,17.0
relogios_presentes,139.9
beleza_saude,551.5999999999999
cama_mesa_banho,50.0
moveis_decoracao,12.9
consoles_games,3834.2
utilidades_domesticas,19.9
papelaria,18.99
relogios_presentes,1827.17
utilidades_domesticas,37.9
livros_tecnicos,38.0
esporte_lazer,230.0
utilidades_domesticas,687.9
cama_mesa_banho,35.99
bebes,346.94
automotivo,129.9
brinquedos,268.9
construcao_ferramentas_construcao,38.0
eletroportateis,399.79
cama_mesa_banho,109.9
utilidades_domesticas,54.32
esporte_lazer,125.9
automotivo,289.9
cama_mesa_banho,93.0
beleza_saude,512.94
informatica_acessorios,168.9
moveis_quarto,469.8
malas_acessorios,164.7
bebes,449.0
beleza_saude,85.61
papelaria,88.0
eletrodomesticos,50.4
pet_shop,181.96
esporte_lazer,285.0
informatica_acessorios,612.91
fashion_bolsas_e_acessorios,135.6
ferramentas_jardim,1628.13
moveis_decoracao,54.8
cool_stuff,66.89
relogios_presentes,2532.4
cool_stuff,139.9
automotivo,19.9
eletronicos,80.0
perfumaria,155.57999999999998
papelaria,53.09
informatica_acessorios,78.9
utilidades_domesticas,79.8
cama_mesa_banho,16.9
moveis_escritorio,356.9
moveis_decoracao,199.88
moveis_decoracao,22.9
moveis_quarto,204.0
cama_mesa_banho,169.9
esporte_lazer,201.6
telefonia,16.97
moveis_escritorio,439.8
beleza_saude,151.52
esporte_lazer,2376.0
beleza_saude,1045.0
relogios_presentes,599.0
informatica_acessorios,36.0
artigos_de_natal,79.0
bebes,185.0
informatica_acessorios,185.3
moveis_escritorio,159.98
beleza_saude,797.4000000000001
brinquedos,129.0
ferramentas_jardim,298.0
cool_stuff,910.0
livros_interesse_geral,29.99
papelaria,88.0
esporte_lazer,3743.0
cama_mesa_banho,34.9
utilidades_domesticas,1038.93
ferramentas_jardim,3930.0
beleza_saude,369.0
perfumaria,14.75
cama_mesa_banho,241.89
ferramentas_jardim,171.8
cama_mesa_banho,1070.1000000000001
artes,14.03
moveis_decoracao,87.9
cama_mesa_banho,280.8
cama_mesa_banho,259.8
utilidades_domesticas,361.98
cool_stuff,35.97
moveis_decoracao,560.0
utilidades_domesticas,52.0
beleza_saude,125.0
cool_stuff,160.2
relogios_presentes,110.0
fashion_bolsas_e_acessorios,27.3
artes,75.0
utilidades_domesticas,268.0
esporte_lazer,219.0
papelaria,323.0
construcao_ferramentas_ferramentas,118.0
fashion_bolsas_e_acessorios,868.0
construcao_ferramentas_iluminacao,89.97
perfumaria,940.0899999999999
automotivo,62.9
ferramentas_jardim,216.76
beleza_saude,35.0
fraldas_higiene,43.0
telefonia,30.0
esporte_lazer,865.9
artigos_de_natal,24.9
ferramentas_jardim,59.7
moveis_decoracao,69.8
automotivo,19.0
instrumentos_musicais,1309.2
informatica_acessorios,5247.0
automotivo,396.0
utilidades_domesticas,79.9
relogios_presentes,599.0
moveis_sala,159.8
malas_acessorios,299.9
fashion_bolsas_e_acessorios,35.0
relogios_presentes,169.9
moveis_decoracao,59.9
fashion_bolsas_e_acessorios,175.0
livros_tecnicos,70.0
beleza_saude,12.0
automotivo,89.0
perfumaria,289.9
utilidades_domesticas,596.0
market_place,279.99
automotivo,53.88
relogios_presentes,148.9
informatica_acessorios,567.0
automotivo,159.99
telefonia,34.99
moveis_decoracao,99.85
eletronicos,39.8
moveis_decoracao,237.0
automotivo,115.0
moveis_decoracao,74.0
brinquedos,94.5
beleza_saude,72.9
informatica_acessorios,69.99
papelaria,111.51
esporte_lazer,89.0
fashion_bolsas_e_acessorios,109.9
livros_tecnicos,159.0
cama_mesa_banho,309.6
cama_mesa_banho,664.5
eletrodomesticos,31.5
cama_mesa_banho,182.0
moveis_decoracao,46.99
utilidades_domesticas,229.9
eletrodomesticos_2,984.0
utilidades_domesticas,69.9
instrumentos_musicais,82.0
bebes,19.9
beleza_saude,551.5999999999999
telefonia,31.9
beleza_saude,119.99
brinquedos,39.99
moveis_decoracao,550.0
moveis_decoracao,66.0
esporte_lazer,724.0
beleza_saude,126.64
brinquedos,138.9
automotivo,202.0
informatica_acessorios,646.2
automotivo,33.9
utilidades_domesticas,70.69999999999999
utilidades_domesticas,359.0
perfumaria,66.0
cama_mesa_banho,236.0
cama_mesa_banho,920.0
casa_construcao,338.58000000000004
relogios_presentes,219.0
automotivo,462.06
cama_mesa_banho,1669.12
cama_mesa_banho,149.98
cama_mesa_banho,47.99
informatica_acessorios,947.6199999999999
esporte_lazer,850.0
automotivo,3815.8
ferramentas_jardim,269.67
relogios_presentes,180.0
cama_mesa_banho,59.9
informatica_acessorios,319.12
relogios_presentes,784.0
cine_foto,239.0
casa_construcao,353.54999999999995
informatica_acessorios,119.99
automotivo,238.81
telefonia,27.99
eletrodomesticos,115.0
fashion_bolsas_e_acessorios,69.97
moveis_decoracao,46.99
beleza_saude,431.8
fashion_bolsas_e_acessorios,27.3
beleza_saude,380.88
cama_mesa_banho,57.98
moveis_decoracao,85.0
relogios_presentes,134.9
fashion_calcados,69.9
construcao_ferramentas_jardim,47.4
moveis_decoracao,59.9
alimentos_bebidas,109.94999999999999
moveis_decoracao,179.99
moveis_escritorio,219.9
cama_mesa_banho,194.70000000000002
moveis_decoracao,189.9
esporte_lazer,562.0
moveis_decoracao,399.98
cama_mesa_banho,1038.0
telefonia,309.93
moveis_decoracao,93.98
moveis_decoracao,117.69999999999999
brinquedos,49.7
pet_shop,59.99
esporte_lazer,149.94
telefonia,39.98
informatica_acessorios,127.0
utilidades_domesticas,17.99
ferramentas_jardim,139.64
cama_mesa_banho,119.9
ferramentas_jardim,1155.0
flores,217.8
beleza_saude,89.9
beleza_saude,59.9
fashion_bolsas_e_acessorios,168.0
bebes,29.9
bebes,59.9
moveis_decoracao,225.0
alimentos,549.5
esporte_lazer,229.9
beleza_saude,29.99
moveis_escritorio,1559.6
fashion_underwear_e_moda_praia,24.99
papelaria,293.4
eletrodomesticos,319.6
perfumaria,329.9
beleza_saude,48.0
informatica_acessorios,1360.02
moveis_decoracao,39.99
moveis_cozinha_area_de_servico_jantar_e_jardim,29.9
automotivo,55.5
automotivo,110.0
climatizacao,250.0
perfumaria,339.0
brinquedos,75.0
utilidades_domesticas,129.9
automotivo,45.9
utilidades_domesticas,23.4
fashion_bolsas_e_acessorios,24.99
moveis_decoracao,345.62
perfumaria,130.0
livros_interesse_geral,59.8
moveis_decoracao,72.9
utilidades_domesticas,212.38
moveis_decoracao,52.64
cama_mesa_banho,63.6
utilidades_domesticas,129.99
malas_acessorios,827.2
musica,10.99
moveis_decoracao,229.9
malas_acessorios,92.0
musica,14.3
esporte_lazer,412.3
perfumaria,89.9
esporte_lazer,110.0
moveis_decoracao,89.69999999999999
automotivo,57.6
moveis_decoracao,195.62
beleza_saude,75.6
beleza_saude,5990.0
utilidades_domesticas,18.8
cama_mesa_banho,1699.2
relogios_presentes,217.36
automotivo,775.0
ferramentas_jardim,144.0
beleza_saude,240.0
ferramentas_jardim,91.98
bebidas,59.9
cama_mesa_banho,15.9
moveis_decoracao,129.9
fashion_bolsas_e_acessorios,180.0
cool_stuff,311.58000000000004
automotivo,68.9
brinquedos,79.0
brinquedos,1677.8000000000002
cama_mesa_banho,77.6
brinquedos,634.8
eletrodomesticos,11.19
informatica_acessorios,2264.0
consoles_games,16.9
beleza_saude,4276.45
ferramentas_jardim,1958.0
